"","ATF3","DUSP1","LHB","NEURL3","PCLO","C2orf78","DEFB1","LOC100335030","RASSF7","ZNF610","Class","Group","TimeInterval"
"CoV_0hr_A","10.290996","13.901505"," 9.093671"," 7.498965"," 6.468670"," 5.936451"," 7.622403"," 8.114815"," 6.822339"," 7.227249","Coronavirus","A","0 hr"
"CoV_0hr_B"," 9.780412","13.852933"," 9.128886"," 7.446590"," 6.476326"," 6.023280"," 7.778352"," 8.270884"," 6.700971"," 7.428115","Coronavirus","B","0 hr"
"CoV_0hr_C"," 9.574148","13.740905"," 8.662565"," 7.495092"," 6.463702"," 5.909934"," 7.352772"," 8.308822"," 6.966246"," 7.481717","Coronavirus","C","0 hr"
"CoV_0hr_D"," 9.848204","13.863910"," 8.729845"," 7.364854"," 6.572579"," 5.986079"," 7.118591"," 8.246936"," 6.875601"," 7.426565","Coronavirus","D","0 hr"
"CoV_0hr_E","10.114265","13.968982"," 8.738079"," 7.436675"," 6.625125"," 5.862801"," 7.179596"," 8.214737"," 6.952108"," 7.420473","Coronavirus","E","0 hr"
"ctrl_0hr_A","10.173291","14.398733"," 8.776979"," 7.267773"," 6.410249"," 6.016610"," 7.331124"," 8.187333"," 6.964110"," 7.403619","control","A","0 hr"
"ctrl_0hr_B","10.132629","14.237192"," 9.610252"," 7.015544"," 6.467982"," 5.931786"," 7.872561"," 8.288294"," 6.910892"," 7.464914","control","B","0 hr"
"ctrl_0hr_C","10.308477","14.382699"," 9.557514"," 7.440873"," 6.478339"," 5.853411"," 7.584274"," 8.147007"," 6.994899"," 7.269174","control","C","0 hr"
"ctrl_0hr_D"," 9.888505","14.404923"," 9.602914"," 7.102155"," 6.489396"," 5.855096"," 7.650353"," 8.185575"," 7.033153"," 7.359418","control","D","0 hr"
"ctrl_0hr_E"," 9.892730","14.120833"," 9.577233"," 6.936543"," 6.417981"," 5.942510"," 7.847725"," 8.156999"," 7.056144"," 7.447995","control","E","0 hr"
"CoV_12hr_A"," 9.819186","11.303627","10.795022","12.768140"," 6.256646"," 5.865277"," 8.059324"," 7.868801"," 6.594891"," 8.147592","Coronavirus","A","12 hr"
"CoV_12hr_B","10.011539","11.577456","11.006393","12.402078"," 6.327304"," 5.922540"," 7.843962"," 7.735502"," 6.692292"," 8.178197","Coronavirus","B","12 hr"
"CoV_12hr_C"," 9.783105","11.626722","11.000187","12.532051"," 6.322820"," 5.988353"," 7.985707"," 7.820541"," 6.586602"," 8.121462","Coronavirus","C","12 hr"
"CoV_12hr_D"," 9.849858","11.692725","10.938022","12.668202"," 6.261566"," 5.901327"," 7.995350"," 7.717794"," 6.571151"," 8.224417","Coronavirus","D","12 hr"
"CoV_12hr_E"," 9.617070","12.220997","10.553798","12.273302"," 6.333485"," 5.898912"," 7.418830"," 7.832236"," 6.801301"," 8.247149","Coronavirus","E","12 hr"
"ctrl_12hr_A"," 7.825226","11.488735"," 9.286872"," 6.829080"," 6.528833"," 5.954890"," 8.009080"," 8.069778"," 6.880927"," 7.524340","control","A","12 hr"
"ctrl_12hr_B"," 7.872041","11.710908"," 8.845744"," 6.784278"," 6.532492"," 5.862801"," 8.055858"," 7.986788"," 6.895230"," 7.537055","control","B","12 hr"
"ctrl_12hr_C"," 7.989155","11.468072"," 9.267328"," 6.908973"," 6.489589"," 5.973506"," 7.952662"," 7.941232"," 6.903801"," 7.575149","control","C","12 hr"
"ctrl_12hr_D"," 8.028735","11.407001"," 9.820556"," 6.615987"," 6.412667"," 5.928711"," 8.277781"," 8.181431"," 6.745836"," 7.641494","control","D","12 hr"
"ctrl_12hr_E"," 8.154875","11.042038"," 9.741747"," 6.833504"," 6.431864"," 5.862305"," 8.235038"," 8.169354"," 6.554766"," 7.782781","control","E","12 hr"
"CoV_24hr_A","12.356029","14.922819","10.081784","13.713997"," 6.330955"," 5.981748"," 7.571666"," 8.536174"," 6.747448"," 8.938377","Coronavirus","A","24 hr"
"CoV_24hr_B","12.393863","14.762759","10.125434","13.516154"," 6.376025"," 5.938335"," 7.629778"," 8.509799"," 6.697222"," 8.733307","Coronavirus","B","24 hr"
"CoV_24hr_C","12.347139","15.286795"," 9.988253","13.718699"," 6.398037"," 6.047165"," 7.260831"," 8.425157"," 6.692222"," 9.019246","Coronavirus","C","24 hr"
"CoV_24hr_D","12.280955","15.019195"," 9.580647","13.576554"," 6.441270"," 6.099102"," 7.080690"," 8.584440"," 6.757083"," 9.012278","Coronavirus","D","24 hr"
"CoV_24hr_E","12.187980","14.989084"," 9.508540","13.545156"," 6.428447"," 6.044217"," 7.058040"," 8.736338"," 6.698612"," 9.092390","Coronavirus","E","24 hr"
"ctrl_24hr_A"," 7.914153","12.020454"," 8.926344"," 6.410178"," 6.709108"," 6.033401"," 7.563681"," 8.155811"," 6.789623"," 7.914991","control","A","24 hr"
"ctrl_24hr_B"," 8.179651","11.901618"," 9.159004"," 6.560892"," 6.642224"," 5.909934"," 7.729397"," 8.138252"," 6.704019"," 7.747434","control","B","24 hr"
"ctrl_24hr_C"," 8.062523","11.831523"," 9.275883"," 6.568645"," 6.626875"," 5.938570"," 7.946592"," 8.095640"," 6.643618"," 7.788730","control","C","24 hr"
"ctrl_24hr_D"," 8.045721","11.806023"," 9.273915"," 6.631753"," 6.618130"," 5.997365"," 7.625182"," 8.078397"," 6.716886"," 7.876311","control","D","24 hr"
"ctrl_24hr_E"," 8.204591","11.942950"," 9.125971"," 6.562419"," 6.697083"," 5.919444"," 7.486914"," 8.005603"," 6.680610"," 7.754600","control","E","24 hr"
"CoV_36hr_A","12.318180","14.508819"," 9.861903","13.561144"," 6.548994"," 6.087523"," 8.078504"," 8.482066"," 6.721733"," 8.534288","Coronavirus","A","36 hr"
"CoV_36hr_B","12.173687","14.540567"," 9.802688","13.549071"," 6.644295"," 5.999396"," 7.874253"," 8.583444"," 6.770072"," 8.659518","Coronavirus","B","36 hr"
"CoV_36hr_C","12.163530","14.579001"," 9.872176","13.449660"," 6.515321"," 5.933150"," 7.801655"," 8.552423"," 6.862404"," 8.572155","Coronavirus","C","36 hr"
"CoV_36hr_D","12.142847","14.514722"," 9.982218","13.712803"," 6.671993"," 6.001650"," 7.980233"," 8.606779"," 6.846841"," 8.654873","Coronavirus","D","36 hr"
"CoV_36hr_E","12.297080","14.374295","10.201176","13.521456"," 6.372439"," 6.051522"," 7.610937"," 8.589262"," 6.822339"," 8.589262","Coronavirus","E","36 hr"
"ctrl_36hr_A"," 7.940682","11.742312"," 9.321322"," 6.730998"," 6.678982"," 6.220477"," 7.737160"," 8.018402"," 6.849095"," 7.846848","control","A","36 hr"
"ctrl_36hr_B"," 7.783378","11.751105"," 9.056790"," 6.621403"," 6.643658"," 6.125131"," 7.704646"," 8.042240"," 6.771987"," 7.839025","control","B","36 hr"
"ctrl_36hr_C"," 7.810544","11.798201"," 9.151894"," 6.822530"," 6.618794"," 6.092605"," 7.652111"," 8.124825"," 6.842196"," 7.974192","control","C","36 hr"
"ctrl_36hr_D"," 7.731982","11.876269"," 9.024215"," 6.685524"," 6.629717"," 6.098892"," 7.564977"," 8.045657"," 6.925022"," 7.847725","control","D","36 hr"
"ctrl_36hr_E"," 7.734450","11.888111"," 8.922796"," 6.630443"," 6.673160"," 6.028326"," 7.592967"," 8.041310"," 6.908012"," 7.860321","control","E","36 hr"
"CoV_48hr_A","11.205349","13.523040"," 9.679922","12.333937"," 6.529574"," 6.049019"," 7.328972"," 8.062943"," 6.505043"," 7.678934","Coronavirus","A","48 hr"
"CoV_48hr_B","11.253111","13.511350"," 9.912659","12.481150"," 6.549794"," 5.980606"," 7.354622"," 8.098275"," 6.544158"," 7.742997","Coronavirus","B","48 hr"
"CoV_48hr_C","10.944238","13.316529"," 9.850259","12.260608"," 6.708351"," 6.203350"," 7.478970"," 8.024786"," 6.488793"," 7.725653","Coronavirus","C","48 hr"
"CoV_48hr_D","10.983900","13.358680"," 9.899124","11.961065"," 6.599227"," 6.142515"," 7.584650"," 7.979318"," 6.643906"," 7.822518","Coronavirus","D","48 hr"
"CoV_48hr_E","11.255318","13.367467","10.184716","12.498831"," 6.679909"," 6.017946"," 7.345740"," 8.128902"," 6.493502"," 9.374216","Coronavirus","E","48 hr"
"ctrl_48hr_A"," 7.932607","12.174103"," 9.024090"," 6.757483"," 6.552106"," 6.016387"," 7.551584"," 8.234894"," 6.812821"," 7.882805","control","A","48 hr"
"ctrl_48hr_B"," 7.668012","12.449589"," 8.985262"," 6.882334"," 6.700790"," 5.961156"," 7.634577"," 8.221036"," 6.918835"," 8.076742","control","B","48 hr"
"ctrl_48hr_C"," 7.755264","12.365436"," 9.031925"," 6.844960"," 6.455577"," 6.003225"," 7.580736"," 8.234032"," 6.851086"," 8.033925","control","C","48 hr"
"ctrl_48hr_D"," 7.725891","12.415529"," 8.940948"," 6.872043"," 6.533961"," 5.986534"," 7.753263"," 8.230602"," 6.913527"," 7.983884","control","D","48 hr"
"ctrl_48hr_E"," 7.656200","12.455840"," 8.994880"," 6.868035"," 6.479109"," 6.091125"," 7.731435"," 8.270651"," 6.878047"," 7.998738","control","E","48 hr"
